ID_venta,fecha,ID_cliente,ID_producto,cantidad,precio_unitario,total
71,2023-03-12,88,22,4,299.81,1199.24
72,2023-03-13,230,18,4,395.62,1582.48
73,2023-03-14,416,12,7,64.18,449.26000000000005
74,2023-03-15,440,9,5,405.61,2028.0500000000002
75,2023-03-16,456,36,3,98.82,296.46
76,2023-03-17,377,40,2,242.68,485.36
77,2023-03-18,113,27,8,418.06,3344.48
78,2023-03-19,245,25,8,165.34,1322.72
79,2023-03-20,428,34,2,373.84,747.68
80,2023-03-21,96,39,6,182.82,1096.92
81,2023-03-22,183,22,2,299.81,599.62
82,2023-03-23,493,20,9,443.87,3994.83
83,2023-03-24,57,12,8,64.18,513.44
84,2023-03-25,329,3,9,304.61,2741.4900000000002
85,2023-03-26,498,8,1,427.54,427.54
86,2023-03-27,430,10,7,195.03,1365.21
87,2023-03-28,131,19,7,122.14,854.98
88,2023-03-29,261,45,7,114.61,802.27
89,2023-03-30,384,31,3,195.69,587.0699999999999
90,2023-03-31,87,28,4,164.65,658.6
91,2023-04-01,495,19,6,122.14,732.84
92,2023-04-02,329,1,7,296.6,2076.2000000000003
93,2023-04-03,413,45,1,114.61,114.61
94,2023-04-04,49,47,6,453.76,2722.56
95,2023-04-05,331,14,3,7.01,21.03
96,2023-04-06,470,6,4,24.55,98.2
97,2023-04-07,47,21,1,293.67,293.67
98,2023-04-08,306,5,9,75.13,676.17
99,2023-04-09,15,17,9,223.77,2013.93
100,2023-04-10,400,29,4,458.18,1832.72
101,2023-04-11,142,23,2,190.34,380.68
102,2023-04-12,440,24,8,401.09,3208.72
103,2023-04-13,1,32,1,32.41,32.41
104,2023-04-14,240,8,7,427.54,2992.78
105,2023-04-15,427,9,7,405.61,2839.27
106,2023-04-16,223,15,6,321.97,1931.8200000000002
107,2023-04-17,119,23,1,190.34,190.34
108,2023-04-18,306,42,3,325.57,976.71
109,2023-04-19,273,25,6,165.34,992.04
110,2023-04-20,245,13,9,402.07,3618.63
111,2023-04-21,186,24,9,401.09,3609.81
112,2023-04-22,450,39,8,182.82,1462.56
113,2023-04-23,419,32,6,32.41,194.45999999999998
114,2023-04-24,325,32,7,32.41,226.86999999999998
115,2023-04-25,458,29,2,458.18,916.36
116,2023-04-26,76,27,5,418.06,2090.3
117,2023-04-27,438,42,2,325.57,651.14
118,2023-04-28,398,22,4,299.81,1199.24
119,2023-04-29,452,49,3,34.81,104.43
120,2023-04-30,121,24,5,401.09,2005.4499999999998
121,2023-05-01,340,3,7,304.61,2132.27
122,2023-05-02,494,11,5,58.73,293.65
123,2023-05-03,264,12,6,64.18,385.08000000000004
124,2023-05-04,336,2,1,202.66,202.66
125,2023-05-05,16,9,2,405.61,811.22
126,2023-05-06,30,29,6,458.18,2749.08
127,2023-05-07,314,47,1,453.76,453.76
128,2023-05-08,87,9,2,405.61,811.22
129,2023-05-09,135,29,8,458.18,3665.44
130,2023-05-10,319,3,7,304.61,2132.27
131,2023-05-11,214,15,4,321.97,1287.88
132,2023-05-12,47,38,9,316.05,2844.4500000000003
133,2023-05-13,442,15,1,321.97,321.97
134,2023-05-14,496,32,3,32.41,97.22999999999999
135,2023-05-15,111,7,7,57.21,400.47
136,2023-05-16,440,39,4,182.82,731.28
137,2023-05-17,246,41,2,238.78,477.56
138,2023-05-18,474,21,4,293.67,1174.68
139,2023-05-19,100,47,6,453.76,2722.56
140,2023-05-20,105,13,2,402.07,804.14
141,2023-05-21,154,31,4,195.69,782.76
142,2023-05-22,127,7,5,57.21,286.05
143,2023-05-23,417,47,1,453.76,453.76
144,2023-05-24,339,21,9,293.67,2643.03
145,2023-05-25,154,15,2,321.97,643.94
146,2023-05-26,357,1,5,296.6,1483.0
147,2023-05-27,372,12,1,64.18,64.18
148,2023-05-28,95,19,7,122.14,854.98
149,2023-05-29,89,7,1,57.21,57.21
150,2023-05-30,246,11,3,58.73,176.19
151,2023-05-31,236,10,8,195.03,1560.24
152,2023-06-01,45,6,4,24.55,98.2
153,2023-06-02,358,35,1,148.02,148.02
154,2023-06-03,42,10,3,195.03,585.09
155,2023-06-04,455,18,1,395.62,395.62
156,2023-06-05,483,27,4,418.06,1672.24
157,2023-06-06,195,3,9,304.61,2741.4900000000002
158,2023-06-07,10,7,3,57.21,171.63
159,2023-06-08,308,7,4,57.21,228.84
160,2023-06-09,11,21,6,293.67,1762.02
161,2023-06-10,336,8,6,427.54,2565.2400000000002
162,2023-06-11,211,41,8,238.78,1910.24
163,2023-06-12,262,16,1,315.23,315.23
164,2023-06-13,469,13,2,402.07,804.14
165,2023-06-14,56,15,5,321.97,1609.8500000000001
166,2023-06-15,419,48,9,66.11,594.99
167,2023-06-16,122,41,2,238.78,477.56
168,2023-06-17,405,34,6,373.84,2243.04
169,2023-06-18,341,6,5,24.55,122.75
170,2023-06-19,357,21,7,293.67,2055.69
171,2023-06-20,51,7,4,57.21,228.84
172,2023-06-21,434,44,6,373.28,2239.68
173,2023-06-22,150,34,5,373.84,1869.1999999999998
174,2023-06-23,400,15,8,321.97,2575.76
175,2023-06-24,322,25,6,165.34,992.04
176,2023-06-25,357,21,5,293.67,1468.3500000000001
177,2023-06-26,5,27,6,418.06,2508.36
178,2023-06-27,259,13,9,402.07,3618.63
179,2023-06-28,432,41,2,238.78,477.56
180,2023-06-29,32,21,8,293.67,2349.36
181,2023-06-30,332,50,9,28.79,259.11
182,2023-07-01,401,38,4,316.05,1264.2
183,2023-07-02,430,50,3,28.79,86.37
184,2023-07-03,11,37,7,201.63,1411.4099999999999
185,2023-07-04,151,8,5,427.54,2137.7000000000003
186,2023-07-05,160,20,9,443.87,3994.83
187,2023-07-06,119,19,1,122.14,122.14
188,2023-07-07,114,45,5,114.61,573.05
189,2023-07-08,313,20,9,443.87,3994.83
190,2023-07-09,389,25,9,165.34,1488.06
191,2023-07-10,468,27,6,418.06,2508.36
192,2023-07-11,59,4,9,419.48,3775.32
193,2023-07-12,189,5,5,75.13,375.65
194,2023-07-13,439,27,6,418.06,2508.36
195,2023-07-14,251,44,2,373.28,746.56
196,2023-07-15,303,42,4,325.57,1302.28
197,2023-07-16,238,44,2,373.28,746.56
198,2023-07-17,276,15,3,321.97,965.9100000000001
199,2023-07-18,296,19,8,122.14,977.12
200,2023-07-19,483,39,2,182.82,365.64
201,2023-07-20,2,3,9,304.61,2741.4900000000002
202,2023-07-21,266,21,9,293.67,2643.03
203,2023-07-22,200,35,7,148.02,1036.14
204,2023-07-23,454,41,8,238.78,1910.24
205,2023-07-24,8,8,2,427.54,855.08
206,2023-07-25,6,46,8,52.46,419.68
207,2023-07-26,136,10,4,195.03,780.12
208,2023-07-27,150,10,4,195.03,780.12
209,2023-07-28,116,15,5,321.97,1609.8500000000001
210,2023-07-29,388,44,2,373.28,746.56
211,2023-07-30,342,42,4,325.57,1302.28
212,2023-07-31,191,27,6,418.06,2508.36
213,2023-08-01,42,48,3,66.11,198.32999999999998
214,2023-08-02,107,43,8,464.59,3716.72
215,2023-08-03,239,41,9,238.78,2149.02
216,2023-08-04,403,14,3,7.01,21.03
217,2023-08-05,223,12,4,64.18,256.72
218,2023-08-06,328,48,1,66.11,66.11
219,2023-08-07,405,42,4,325.57,1302.28
220,2023-08-08,372,28,9,164.65,1481.8500000000001
221,2023-08-09,306,19,8,122.14,977.12
222,2023-08-10,350,18,3,395.62,1186.8600000000001
223,2023-08-11,476,3,3,304.61,913.83
224,2023-08-12,261,50,3,28.79,86.37
225,2023-08-13,41,19,5,122.14,610.7
226,2023-08-14,252,41,5,238.78,1193.9
227,2023-08-15,173,38,5,316.05,1580.25
228,2023-08-16,264,24,2,401.09,802.18
229,2023-08-17,414,23,3,190.34,571.02
230,2023-08-18,190,30,9,348.83,3139.47
231,2023-08-19,448,9,3,405.61,1216.83
232,2023-08-20,379,41,7,238.78,1671.46
233,2023-08-21,64,11,9,58.73,528.5699999999999
234,2023-08-22,146,37,5,201.63,1008.15
235,2023-08-23,375,21,8,293.67,2349.36
236,2023-08-24,346,15,3,321.97,965.9100000000001
237,2023-08-25,113,50,9,28.79,259.11
238,2023-08-26,372,4,5,419.48,2097.4
239,2023-08-27,325,24,6,401.09,2406.54
240,2023-08-28,479,47,8,453.76,3630.08
241,2023-08-29,225,28,7,164.65,1152.55
242,2023-08-30,45,1,2,296.6,593.2
243,2023-08-31,494,25,8,165.34,1322.72
244,2023-09-01,327,31,6,195.69,1174.1399999999999
245,2023-09-02,370,1,2,296.6,593.2
246,2023-09-03,197,1,3,296.6,889.8000000000001
247,2023-09-04,76,22,1,299.81,299.81
248,2023-09-05,363,6,1,24.55,24.55
249,2023-09-06,353,7,5,57.21,286.05
250,2023-09-07,14,28,1,164.65,164.65
251,2023-09-08,222,50,2,28.79,57.58
252,2023-09-09,162,16,9,315.23,2837.07
253,2023-09-10,113,45,5,114.61,573.05
254,2023-09-11,346,28,3,164.65,493.95000000000005
255,2023-09-12,440,13,1,402.07,402.07
256,2023-09-13,382,8,6,427.54,2565.2400000000002
257,2023-09-14,62,35,8,148.02,1184.16
258,2023-09-15,474,8,7,427.54,2992.78
259,2023-09-16,226,34,9,373.84,3364.56
260,2023-09-17,245,30,1,348.83,348.83
261,2023-09-18,419,26,4,314.52,1258.08
262,2023-09-19,82,27,8,418.06,3344.48
263,2023-09-20,136,1,4,296.6,1186.4
264,2023-09-21,33,43,8,464.59,3716.72
265,2023-09-22,55,12,3,64.18,192.54000000000002
266,2023-09-23,323,14,7,7.01,49.07
267,2023-09-24,179,14,9,7.01,63.089999999999996
268,2023-09-25,310,36,9,98.82,889.3799999999999
269,2023-09-26,23,50,1,28.79,28.79
270,2023-09-27,358,41,7,238.78,1671.46
271,2023-09-28,361,3,3,304.61,913.83
272,2023-09-29,256,4,2,419.48,838.96
273,2023-09-30,181,5,3,75.13,225.39
274,2023-10-01,236,19,7,122.14,854.98
275,2023-10-02,323,19,2,122.14,244.28
276,2023-10-03,381,41,4,238.78,955.12
277,2023-10-04,44,40,3,242.68,728.04
278,2023-10-05,319,6,6,24.55,147.3
279,2023-10-06,78,43,8,464.59,3716.72
280,2023-10-07,305,49,9,34.81,313.29
281,2023-10-08,16,32,3,32.41,97.22999999999999
282,2023-10-09,423,39,1,182.82,182.82
283,2023-10-10,409,18,7,395.62,2769.34
284,2023-10-11,199,15,1,321.97,321.97
285,2023-10-12,88,28,8,164.65,1317.2
286,2023-10-13,363,37,6,201.63,1209.78
287,2023-10-14,25,1,5,296.6,1483.0
288,2023-10-15,4,25,2,165.34,330.68
289,2023-10-16,138,1,9,296.6,2669.4
290,2023-10-17,227,22,6,299.81,1798.8600000000001
291,2023-10-18,329,19,9,122.14,1099.26
292,2023-10-19,86,27,4,418.06,1672.24
293,2023-10-20,366,47,3,453.76,1361.28
294,2023-10-21,271,40,2,242.68,485.36
295,2023-10-22,39,21,5,293.67,1468.3500000000001
296,2023-10-23,432,29,4,458.18,1832.72
297,2023-10-24,40,25,5,165.34,826.7
298,2023-10-25,447,25,9,165.34,1488.06
299,2023-10-26,456,28,9,164.65,1481.8500000000001
300,2023-10-27,136,27,5,418.06,2090.3
301,2023-10-28,360,25,8,165.34,1322.72
302,2023-10-29,131,43,5,464.59,2322.95
303,2023-10-30,159,31,6,195.69,1174.1399999999999
304,2023-10-31,437,36,5,98.82,494.09999999999997
305,2023-11-01,109,5,8,75.13,601.04
306,2023-11-02,476,27,7,418.06,2926.42
307,2023-11-03,160,9,4,405.61,1622.44
308,2023-11-04,166,41,7,238.78,1671.46
309,2023-11-05,150,24,1,401.09,401.09
310,2023-11-06,277,2,8,202.66,1621.28
311,2023-11-07,373,31,1,195.69,195.69
312,2023-11-08,463,19,4,122.14,488.56
313,2023-11-09,314,19,6,122.14,732.84
314,2023-11-10,37,13,9,402.07,3618.63
315,2023-11-11,282,49,7,34.81,243.67000000000002
316,2023-11-12,1,50,4,28.79,115.16
317,2023-11-13,88,36,5,98.82,494.09999999999997
318,2023-11-14,262,33,7,338.95,2372.65
319,2023-11-15,321,35,1,148.02,148.02
320,2023-11-16,275,43,2,464.59,929.18
321,2023-11-17,301,12,7,64.18,449.26000000000005
322,2023-11-18,165,3,4,304.61,1218.44
323,2023-11-19,400,46,7,52.46,367.22
324,2023-11-20,86,19,9,122.14,1099.26
325,2023-11-21,59,14,6,7.01,42.06
326,2023-11-22,418,8,5,427.54,2137.7000000000003
327,2023-11-23,231,27,9,418.06,3762.54
328,2023-11-24,366,41,9,238.78,2149.02
329,2023-11-25,142,49,6,34.81,208.86
330,2023-11-26,436,30,1,348.83,348.83
331,2023-11-27,278,32,8,32.41,259.28
332,2023-11-28,465,41,1,238.78,238.78
333,2023-11-29,165,22,5,299.81,1499.05
334,2023-11-30,460,33,7,338.95,2372.65
335,2023-12-01,329,25,5,165.34,826.7
336,2023-12-02,159,16,5,315.23,1576.15
337,2023-12-03,1,13,7,402.07,2814.49
338,2023-12-04,485,28,8,164.65,1317.2
339,2023-12-05,439,29,6,458.18,2749.08
340,2023-12-06,323,13,7,402.07,2814.49
341,2023-12-07,111,42,4,325.57,1302.28
342,2023-12-08,109,28,9,164.65,1481.8500000000001
343,2023-12-09,383,32,7,32.41,226.86999999999998
344,2023-12-10,478,1,1,296.6,296.6
345,2023-12-11,344,2,3,202.66,607.98
346,2023-12-12,331,25,4,165.34,661.36
347,2023-12-13,499,26,1,314.52,314.52
348,2023-12-14,7,17,5,223.77,1118.8500000000001
349,2023-12-15,416,7,4,57.21,228.84
350,2023-12-16,89,37,4,201.63,806.52
351,2023-12-17,361,3,4,304.61,1218.44
352,2023-12-18,187,5,3,75.13,225.39
353,2023-12-19,202,50,2,28.79,57.58
354,2023-12-20,201,18,4,395.62,1582.48
355,2023-12-21,165,49,7,34.81,243.67000000000002
356,2023-12-22,271,17,3,223.77,671.3100000000001
357,2023-12-23,140,20,4,443.87,1775.48
358,2023-12-24,496,30,3,348.83,1046.49
359,2023-12-25,459,36,9,98.82,889.3799999999999
360,2023-12-26,424,42,2,325.57,651.14
361,2023-12-27,423,21,8,293.67,2349.36
362,2023-12-28,361,9,8,405.61,3244.88
363,2023-12-29,238,30,8,348.83,2790.64
364,2023-12-30,419,16,3,315.23,945.69
365,2023-12-31,370,43,2,464.59,929.18
366,2024-01-01,397,44,3,373.28,1119.84
367,2024-01-02,146,48,4,66.11,264.44
368,2024-01-03,157,16,4,315.23,1260.92
369,2024-01-04,495,43,6,464.59,2787.54
370,2024-01-05,447,49,6,34.81,208.86
371,2024-01-06,168,8,8,427.54,3420.32
372,2024-01-07,397,14,1,7.01,7.01
373,2024-01-08,178,38,4,316.05,1264.2
374,2024-01-09,140,4,4,419.48,1677.92
375,2024-01-10,122,24,3,401.09,1203.27
376,2024-01-11,222,28,5,164.65,823.25
377,2024-01-12,146,29,8,458.18,3665.44
378,2024-01-13,88,18,4,395.62,1582.48
379,2024-01-14,25,12,6,64.18,385.08000000000004
380,2024-01-15,265,33,9,338.95,3050.5499999999997
381,2024-01-16,67,26,4,314.52,1258.08
382,2024-01-17,408,10,7,195.03,1365.21
383,2024-01-18,120,35,6,148.02,888.1200000000001
384,2024-01-19,292,48,3,66.11,198.32999999999998
385,2024-01-20,293,25,8,165.34,1322.72
386,2024-01-21,368,14,5,7.01,35.05
387,2024-01-22,115,7,2,57.21,114.42
388,2024-01-23,29,19,3,122.14,366.42
389,2024-01-24,399,28,8,164.65,1317.2
390,2024-01-25,430,30,6,348.83,2092.98
391,2024-01-26,326,49,3,34.81,104.43
392,2024-01-27,253,20,8,443.87,3550.96
393,2024-01-28,93,39,6,182.82,1096.92
394,2024-01-29,179,34,1,373.84,373.84
395,2024-01-30,475,7,5,57.21,286.05
396,2024-01-31,84,2,2,202.66,405.32
397,2024-02-01,355,32,6,32.41,194.45999999999998
398,2024-02-02,266,28,1,164.65,164.65
399,2024-02-03,242,19,1,122.14,122.14
400,2024-02-04,332,33,7,338.95,2372.65
401,2024-02-05,352,45,8,114.61,916.88
402,2024-02-06,483,50,8,28.79,230.32
403,2024-02-07,175,13,8,402.07,3216.56
404,2024-02-08,70,18,9,395.62,3560.58
405,2024-02-09,82,1,7,296.6,2076.2000000000003
406,2024-02-10,346,1,3,296.6,889.8000000000001
407,2024-02-11,321,33,4,338.95,1355.8
408,2024-02-12,105,10,8,195.03,1560.24
409,2024-02-13,483,6,3,24.55,73.65
410,2024-02-14,262,29,1,458.18,458.18
411,2024-02-15,495,34,9,373.84,3364.56
412,2024-02-16,207,34,3,373.84,1121.52
413,2024-02-17,160,28,1,164.65,164.65
414,2024-02-18,321,1,3,296.6,889.8000000000001
415,2024-02-19,429,16,6,315.23,1891.38
416,2024-02-20,424,3,9,304.61,2741.4900000000002
417,2024-02-21,94,6,8,24.55,196.4
418,2024-02-22,155,21,2,293.67,587.34
419,2024-02-23,261,39,3,182.82,548.46
420,2024-02-24,193,30,1,348.83,348.83
421,2024-02-25,1,9,3,405.61,1216.83
422,2024-02-26,481,3,9,304.61,2741.4900000000002
423,2024-02-27,175,43,6,464.59,2787.54
424,2024-02-28,203,9,3,405.61,1216.83
425,2024-02-29,467,33,9,338.95,3050.5499999999997
426,2024-03-01,282,38,7,316.05,2212.35
427,2024-03-02,66,10,7,195.03,1365.21
428,2024-03-03,411,24,8,401.09,3208.72
429,2024-03-04,285,1,5,296.6,1483.0
430,2024-03-05,70,32,5,32.41,162.04999999999998
431,2024-03-06,164,38,6,316.05,1896.3000000000002
432,2024-03-07,497,8,5,427.54,2137.7000000000003
433,2024-03-08,89,19,7,122.14,854.98
434,2024-03-09,318,49,5,34.81,174.05
435,2024-03-10,77,33,8,338.95,2711.6
436,2024-03-11,479,37,1,201.63,201.63
437,2024-03-12,221,46,8,52.46,419.68
438,2024-03-13,6,26,1,314.52,314.52
439,2024-03-14,332,28,3,164.65,493.95000000000005
440,2024-03-15,48,22,1,299.81,299.81
441,2024-03-16,103,30,5,348.83,1744.1499999999999
442,2024-03-17,149,15,8,321.97,2575.76
443,2024-03-18,336,45,9,114.61,1031.49
444,2024-03-19,80,19,4,122.14,488.56
445,2024-03-20,33,21,3,293.67,881.01
446,2024-03-21,337,31,2,195.69,391.38
447,2024-03-22,299,29,6,458.18,2749.08
448,2024-03-23,300,16,1,315.23,315.23
449,2024-03-24,84,5,7,75.13,525.91
450,2024-03-25,338,8,5,427.54,2137.7000000000003
451,2024-03-26,161,50,5,28.79,143.95
452,2024-03-27,129,43,4,464.59,1858.36
453,2024-03-28,62,25,1,165.34,165.34
454,2024-03-29,319,2,4,202.66,810.64
455,2024-03-30,359,38,4,316.05,1264.2
456,2024-03-31,200,19,4,122.14,488.56
457,2024-04-01,52,38,2,316.05,632.1
458,2024-04-02,38,32,2,32.41,64.82
459,2024-04-03,154,39,9,182.82,1645.3799999999999
460,2024-04-04,128,23,6,190.34,1142.04
461,2024-04-05,182,31,5,195.69,978.45
462,2024-04-06,441,13,2,402.07,804.14
463,2024-04-07,139,47,7,453.76,3176.3199999999997
464,2024-04-08,35,36,5,98.82,494.09999999999997
465,2024-04-09,461,22,9,299.81,2698.29
466,2024-04-10,183,4,3,419.48,1258.44
467,2024-04-11,141,48,9,66.11,594.99
468,2024-04-12,357,1,3,296.6,889.8000000000001
469,2024-04-13,207,30,7,348.83,2441.81
470,2024-04-14,369,1,3,296.6,889.8000000000001
471,2024-04-15,261,48,8,66.11,528.88
472,2024-04-16,476,44,9,373.28,3359.5199999999995
473,2024-04-17,384,7,3,57.21,171.63
474,2024-04-18,179,12,3,64.18,192.54000000000002
475,2024-04-19,314,19,8,122.14,977.12
476,2024-04-20,439,2,8,202.66,1621.28
477,2024-04-21,310,47,5,453.76,2268.8
478,2024-04-22,253,6,4,24.55,98.2
479,2024-04-23,431,34,8,373.84,2990.72
480,2024-04-24,414,19,3,122.14,366.42
481,2024-04-25,126,18,1,395.62,395.62
482,2024-04-26,294,42,1,325.57,325.57
483,2024-04-27,70,18,9,395.62,3560.58
484,2024-04-28,305,50,5,28.79,143.95
485,2024-04-29,401,20,2,443.87,887.74
486,2024-04-30,397,7,6,57.21,343.26
487,2024-05-01,45,8,6,427.54,2565.2400000000002
488,2024-05-02,130,3,4,304.61,1218.44
489,2024-05-03,409,16,4,315.23,1260.92
490,2024-05-04,412,33,6,338.95,2033.6999999999998
491,2024-05-05,362,3,7,304.61,2132.27
492,2024-05-06,416,41,1,238.78,238.78
493,2024-05-07,321,2,6,202.66,1215.96
494,2024-05-08,148,43,7,464.59,3252.1299999999997
495,2024-05-09,133,1,7,296.6,2076.2000000000003
496,2024-05-10,137,9,9,405.61,3650.4900000000002
497,2024-05-11,284,50,6,28.79,172.74
498,2024-05-12,408,4,7,419.48,2936.36
499,2024-05-13,65,29,4,458.18,1832.72
500,2024-05-14,432,11,6,58.73,352.38
501,2024-05-15,247,42,8,325.57,2604.56
502,2024-05-16,260,30,1,348.83,348.83
503,2024-05-17,256,3,6,304.61,1827.66
504,2024-05-18,346,46,3,52.46,157.38
505,2024-05-19,256,26,5,314.52,1572.6
506,2024-05-20,371,15,8,321.97,2575.76
507,2024-05-21,44,22,9,299.81,2698.29
508,2024-05-22,235,5,5,75.13,375.65
509,2024-05-23,449,40,3,242.68,728.04
510,2024-05-24,41,50,4,28.79,115.16
511,2024-05-25,64,20,1,443.87,443.87
512,2024-05-26,446,4,1,419.48,419.48
513,2024-05-27,449,6,6,24.55,147.3
514,2024-05-28,228,32,7,32.41,226.86999999999998
515,2024-05-29,475,1,2,296.6,593.2
516,2024-05-30,323,16,5,315.23,1576.15
517,2024-05-31,373,21,2,293.67,587.34
518,2024-06-01,274,37,5,201.63,1008.15
519,2024-06-02,262,10,1,195.03,195.03
520,2024-06-03,262,37,7,201.63,1411.4099999999999
521,2024-06-04,204,12,4,64.18,256.72
522,2024-06-05,472,31,3,195.69,587.0699999999999
523,2024-06-06,55,46,7,52.46,367.22
524,2024-06-07,270,13,9,402.07,3618.63
525,2024-06-08,73,1,5,296.6,1483.0
526,2024-06-09,232,50,7,28.79,201.53
527,2024-06-10,15,8,1,427.54,427.54
528,2024-06-11,240,4,4,419.48,1677.92
529,2024-06-12,182,8,4,427.54,1710.16
530,2024-06-13,23,50,8,28.79,230.32
531,2024-06-14,61,35,4,148.02,592.08
532,2024-06-15,295,43,5,464.59,2322.95
533,2024-06-16,213,7,1,57.21,57.21
534,2024-06-17,79,29,5,458.18,2290.9
535,2024-06-18,254,12,8,64.18,513.44
536,2024-06-19,449,45,4,114.61,458.44
537,2024-06-20,193,4,3,419.48,1258.44
538,2024-06-21,21,41,9,238.78,2149.02
539,2024-06-22,202,20,3,443.87,1331.6100000000001
540,2024-06-23,257,11,9,58.73,528.5699999999999
541,2024-06-24,204,17,4,223.77,895.08
542,2024-06-25,326,18,9,395.62,3560.58
543,2024-06-26,367,24,4,401.09,1604.36
544,2024-06-27,429,41,6,238.78,1432.68
545,2024-06-28,16,18,4,395.62,1582.48
546,2024-06-29,191,2,6,202.66,1215.96
547,2024-06-30,400,28,6,164.65,987.9000000000001
548,2024-07-01,192,22,9,299.81,2698.29
549,2024-07-02,257,36,1,98.82,98.82
550,2024-07-03,430,18,7,395.62,2769.34
551,2024-07-04,211,41,2,238.78,477.56
552,2024-07-05,137,2,7,202.66,1418.62
553,2024-07-06,384,17,5,223.77,1118.8500000000001
554,2024-07-07,173,36,2,98.82,197.64
555,2024-07-08,423,45,2,114.61,229.22
556,2024-07-09,121,47,7,453.76,3176.3199999999997
557,2024-07-10,314,7,9,57.21,514.89
558,2024-07-11,112,11,5,58.73,293.65
559,2024-07-12,314,14,6,7.01,42.06
560,2024-07-13,440,34,4,373.84,1495.36
561,2024-07-14,14,13,5,402.07,2010.35
562,2024-07-15,361,18,8,395.62,3164.96
563,2024-07-16,210,49,8,34.81,278.48
564,2024-07-17,483,36,9,98.82,889.3799999999999
565,2024-07-18,470,20,5,443.87,2219.35
566,2024-07-19,496,49,4,34.81,139.24
567,2024-07-20,270,11,6,58.73,352.38
568,2024-07-21,176,46,1,52.46,52.46
569,2024-07-22,47,9,6,405.61,2433.66
570,2024-07-23,31,23,7,190.34,1332.38
571,2024-07-24,318,34,7,373.84,2616.8799999999997
572,2024-07-25,181,36,3,98.82,296.46
573,2024-07-26,237,42,3,325.57,976.71
574,2024-07-27,455,9,1,405.61,405.61
575,2024-07-28,294,30,8,348.83,2790.64
576,2024-07-29,181,21,4,293.67,1174.68
